hour|min|text|author|book|approved
9|50|Ровно **без десяти минут десять** вышла из лагеря пятая рота.|Александр Куприн|Поединок|1
9|50|— Ну, хорошо, — сказал, наконец, Максим, остервенев. — Сейчас мы все это проверим. По моим расчетам мы давно уже выехали из поля излучения, а сейчас примерно **без десяти десять**. Что вы все делаете в десять часов?|Аркадий и Борис Стругацкие|Обитаемый остров|1
10|0|По чашке кофею выпивалось барышнями еще раньше, ровно в **десять часов**, в постелях, в минуту пробуждения.|Фёдор Достоевский|Идиот|1
10|0|**Десять часов** пробило на башенных часах замка, когда он доехал до ограды.|Понсон дю Террайль|Тайны Парижа|1
10|0|Было **десять часов утра**. Я в пижаме вышла на террасу - там сидела Анна и просматривала газеты.|Франсуаза Саган|Здравствуй, грусть|1
10|0|В четверг на Святой, **часа за два до полудня**, Глеб остановил Ванюшу в ту минуту, как тот проходил мимо и готовился выйти за ворота.|Дмитрий Григорович|Рыбаки|1
10|0|Самгин провел с ним часа три, и все время Инокова как-то взрывало, помолчит **минут** пять и снова начинает захлебываться словами, храпеть, кашлять. В **десять часов** пришла Спивак.|Максим Горький|Жизнь Клима Самгина|1
10|0|Десяток яиц стоит уже 35 руб., масло 40, ибо мужиков, везущих продукты в город, грабят «бандиты». Взяты на учет кладбища. «Хорониться граждане отныне могут бесплатно». Часы переведены еще на час вперед – сейчас по моим **десять утра**, а «по-советски» половина второго дня.|Иван Бунин|Окаянные дни|1
10|0|На часах Ярославского вокзала было **ровно десят**ь. А посмотрев на темно-синий, украшенный знаками Зодиака циферблат Рязанского вокзала, путешественники заметили, что часы показывали без пяти десять. |Илья Ильф, Евгений Петров|Двенадцать стульев|1
10|5|Прямо против них – тускло поблескивал Октябрьский вокзал, выкрашенный масляной краской в два цвета. Часы на нем показывали **пять минут одиннадцатого**.|Илья Ильф, Евгений Петров|Двенадцать стульев|1
10|10|В **десять минут одиннадцатого** вертолет приземлился на гребне горы к западу от хребта Халлингскарвет. В одиннадцать часов хижина была обнаружена. Она так хорошо была спрятана на местности, что, даже примерно зная, где она находится, они ее едва ли нашли бы, не будь с ними Йенса Рата.  |Ю Несбё|Леопард|1
10|15|Филофей, успевший сбегать домой и возвратившийся оттуда в длинном белом отцовском балахоне, высоком гречневике и смазных сапогах, взобрался торжественно на козла. Я сел, посмотрев на часы: **четверть одиннадцатого**. |Иван Тургенев|Записки охотника|1
10|15|В **четверть одиннадцатого** стали выравнивать роты. Это было долгое, кропотливое и мучительное занятие.|Александр Куприн|Поединок|1
10|15|Время шло чрезвычайно быстро. Когда я направился искать Геза, было уже **четверть одиннадцатого**. Стоял знойный день.|Александр Грин|Бегущая по волнам|1
10|17|В **семнадцать минут одиннадцатого** (я заметил по часам) он встал и вышел из комнаты. Его долго не было. Чем-то он там загромыхал в коридоре, потом тихо стало. Я заколебался, не залезть ли - взглянуть на бумаги, взволновался и оттого утратил бдительность.|Борис Акунин|Декоратор|1
10|20|Было **двадцать минут одиннадцатого**. Как долго давать загадке возможность диктовать свои условия? Должен ли я предполагать, что звонил Джордж Хансен и что он махнул рукой на эту затею, увидев, как я растворяюсь в воздухе?|Роджер Желязны|Карты Судьбы|1
10|25|Он смотрел так, как будто ждал разрушения мира, и не то чтобы когда-нибудь, а совершенно определенно, так-этак послезавтра утром, ровно в **двадцать пять минут одиннадцатого**.|Фёдор Достоевский|Бесы|1
10|30|Около **половины одиннадцатого** начал звонить надтреснутый колокол маленькой церкви, и в нее отовсюду стали стекаться прихожане.|Марк Твен|Приключения Тома Сойера|1
10|30|Райскому оседлали лошадь, а сзади их Татьяна Марковна отправила целую тележку с гостинцами Анне Ивановне. И оба, вместо восьми часов, как хотели, едва выбрались из дома в десять и в **половине одиннадцатого** сели на паром Тушина.|Иван Гончаров|Обрыв|1
11|0|В **одиннадцать часов** утра — час, в который княгиня Лиговская обыкновенно потеет в Ермоловской ванне, — я шел мимо ее дома. Княжна сидела задумчиво у окна; увидев меня, вскочила.|Михаил Лермонтов|Герой нашего времени|1
11|0|Через неделю, в **одиннадцать часов утра**, я был на дебаркадере Варшавской железной дороги. Прокоп уже распоряжался переноскою багажа, состоявшего из двенадцати больших сундуков и нескольких ручных чемоданов.|Михаил Салтыков-Щедрин|Культурные люди|1
11|0|Накануне он сел за игру в восемь часов вечера и проиграл пятнадцать часов сряду, до **одиннадцати утра**.|Лев Толстой|Два гусара|1
11|0|Однажды Берсенев пришел к Стаховым не в обычную пору, **часу в одиннадцатом утра**. Елена вышла к нему в залу.|Иван Тургенев|Накануне|1
11|0|"В **одиннадцать часов** поднимаются сторы и в других двух окнах, и у среднего, перед туалетом, появляется сама Домнушка, в кофте, порядочно растрепанная, с косичкой (""коса"", покуда, покоится в картонке), болтающейся на плече."|Михаил Салтыков-Щедрин|Письма к тётеньке|1
11|7|— **Семь  минут  двенадцатого**!  воскликнул  он.  А  сегодня  я  должен... одиннадцать двадцать пять... на вокзале Ватерлоо... Мне нужно идти.|Герберт Уэллс|История покойного мистера Элвешема|1
11|10|"— Ты как думаешь, Джо, который теперь час?
— По крайней мере минут **десять двенадцатого**.
— Вишь ты! — молвил кучер с досадой. — А все еще не въехали на Шутеров холм."|Чарльз Диккенс|Повесть о двух городах|1
11|15|Теперь **четверть двенадцатого**, сейчас смотрел; ну, так ровно в тридцать пять минут двенадцатого я тебя и отпущу.|Фёдор Достоевский|Униженные и оскорблённые|1
11|15|Затем часы, врезанные в стену дома на углу Герцена и Моховой, остановились на **одиннадцати с четвертью**, и, наконец, в террариях зоологического института, не вынеся всех пертурбаций знаменитого года, издохли первоначально восемь великолепных экземпляров квакшей, затем пятнадцать обыкновенных жаб и, наконец, исключительнейший экземпляр жабы суринамской.|Михаил Булгаков|Роковые яйца|1
11|15|Теперь **четверть двенадцатого**, сейчас смотрел; ну, так ровно в тридцать пять минут двенадцатого я тебя и отпущу.|Фёдор Достоевский|Униженные и оскорблённые|1
11|20|А как там сама Madame? **Двадцать двенадцатого**. Встала. М-с Флеминг пришла прибраться. Причесывается, напевает: voglio e non vorrei. Не так: vorrei e non. Проверяет кончики волос, не секутся ли? Mi trema un poco il.|Джеймс Джойс|Улисс|1
11|21|Он продолжал говорить с ней, убеждать, уговаривать… потный, отупевший, мучимый навязчивой идеей. На часах была ровно **двадцать одна минута двенадцатого**, когда Франклин Гибс опустил последний доллар.|Род Серлинг|Полуночное солнце|1
11|25|— Семь  минут  двенадцатого!  воскликнул  он.  А  сегодня  я  должен... **одиннадцать двадцать пять**... на вокзале Ватерлоо... Мне нужно идти.|Герберт Уэллс|История покойного мистера Элвешема|1
11|28|Мы условились встретиться в холле в пол-одиннадцатого. Я боялась опоздать, но спустилась, наоборот, немного раньше. Но миссис Редферн меня уже ждала, и мы вышли в двадцать семь или **двадцать восемь минут двенадцатого**.|Агата Кристи|Зло под солнцем|1
11|28|Люди Харрела передвигались, останавливались, меняли положение по отношению к нему, где можно, прятались в тени. **Двадцать семь минут двенадцатого**. Оставалось еще четверть мили до того места, где Роз должна увидеть его сигнал.|Томас Крэйг|Последний ворон|1
11|30|В эту минуту часы пробили **половину двенадцатого.**|Фёдор Достоевский|Скверный анекдот|1
11|30|Вот почему Марья, как услышала давеча, что в **половине двенадцатого** Катерина Николаевна будет у Татьяны Павловны и что буду тут и я, то тотчас же бросилась из дому и на извозчике прискакала с этим известием к Ламберту.|Фёдор Достоевский|Подросток|1
11|30|В кухне же громко сказала мне, что в **половине двенадцатого** к ней будет сама Катерина Николаевна — как еще давеча они условились обе — для свидания со мной. Вот тут-то и услышала Марья.|Фёдор Достоевский|Подросток|1
11|32|Самгин вынул из кармана брюк часы, они показывали **тридцать две минуты двенадцатого**. Приятно было ощущать на ладони вескую теплоту часов.|Максим Горький|Жизнь Клима Самгина|1
11|35|Теперь четверть двенадцатого, сейчас смотрел; ну, так ровно в **тридцать пять минут двенадцатого** я тебя и отпущу.|Фёдор Достоевский|Униженные и оскорблённые|1
11|41|— Простые числа! — Он оживился. — И не просто простые числа, но обратите внимание, что они не согласуются с последовательностью пятеричной системы минут. Не одиннадцать сорок, не одиннадцать сорок пять, а **одиннадцать сорок одна**!|Филип Марсден|Перекресток: путешествие среди армян|1
11|45|Рославлев вынул часы, подавил репетицию; она пробила **одиннадцать часов и три четверти**.|Михаил Загоскин|Рославлев, или Русские в 1812 году|1
11|45|Ровно в **11.45**: я тогда нарочно взглянул на часы — чтоб ухватиться за цифры — чтоб спасли хоть цифры.|Евгений Замятин|Мы|1
11|45|В **11.45**, перед тем, как идти на обычные, согласно Часовой Скрижали, занятия физическим трудом, я забежал к себе в комнату. Вдруг телефонный звонок, голос — длинная, медленная игла в сердце|Евгений Замятин|Мы|1
12|0|Ровно в **двенадцать часов** Александр Иванович отодвинул в сторону контокорректную книгу и приступил к завтраку|Илья Ильф, Евгений Петров|Золотой теленок|1
12|0|Эхе, хе! **двенадцать часов**! – сказал наконец Чичиков, взглянув на часы. – Что ж я так закопался? Да еще пусть бы дело делал, а то ни с того ни с другого сначала загородил околесину, а потом задумался. Экой я дурак в самом деле!|Николай Гоголь|Мертвые души|1
12|0|На другой день к обеду прискакал верхом гонец с письмом от Шатова: письмо было отправлено в четыре часа утра, а в **полдень** уже получено Васильем Петровичем.|Сергей Аксаков|Наташа|1
12|0|После **полудня** вновь погода стала портиться. Опасаясь, как бы опять не пошли затяжные дожди, я отложил осмотр Ли-Фудзина до другого, более благоприятного случая.|Владимир Арсеньев|По Уссурийскому краю|1
12|0|Мозжитесь, ее кости; томитесь, ее мысли, и день, и ночь, и в глухую полночь, и в ясный **полдень**, и в каждый час, и в каждую минуту обо мне, рабе божием (имярек).|Александр Блок|Поэзия заговоров и заклинаний|1
12|0|Еще была зима, но солнце начинало ходить выше, и в **полдень**, когда вышедший рано утром отряд прошел уже верст десять, пригревало так, что становилось жарко, и лучи его были так ярки, что больно было смотреть на сталь штыков и на блестки, которые вдруг вспыхивали на меди пушек, как маленькие солнца.|Лев Толстой|Хаджи-Мурат|1
12|0|Около **полудня**, то есть ровно через три часа по приезде князя в Мордасов, по городу распространились странные слухи.|Фёдор Достоевский|Дядюшкин сон|1
12|0|Каждый день в **полдень** во дворе и за воротами на улице вкусно пахло борщом и жареной бараниной или уткой, а в постные дни — рыбой, и мимо ворот нельзя было пройти без того, чтобы не захотелось есть.|Антон Чехов|Душечка|1
12|0|"Уж **полдень** над его главой 
Пылал в сиянии веселом..."|Александр Пушкин|Кавказский пленник|1
12|0|Было ровно **двенадцать часов**; я прошел в следующую комнату, подумал, сообразил о новом плане и, воротясь, разменял у банка мои кредитки на полуимпериалы.|Фёдор Достоевский|Подросток|1
12|5|"С этой стороны книги конец романа будет следующим: ""Было **пять минут первого**, когда башни с чудовищным взрывом взлетели на  воздух, унося с собой пламя, в котором погибло тело Леандера."""|Милорад Павич|Начало и конец романа|1
12|10|— **Десять минут первого**, — ответил Снорк. Больше никто ничего не сказал. Они слезли с дерева и пошли прямо на запад.|Янссон Туве|Муми-тролль и комета|1
12|15|в кухне тихо и сумрачно, рублевые стенные часы, у которых стрелки не двигались, всегда показывали **четверть первого**, стучат необыкновенно четко и торопливо, свинка, зимующая в кухне, стоит возле печки и, до глаз запустив морду в лохань с помоями, роется в них|Иван Бунин|Старуха|1
12|30|В Германию! Не дожидаясь, завтра взять у Ардашева нужные письма и — в Берлин. Взглянул на стенные часы — **половина первого**.|Лев Толстой|Эмигранты|1
12|45|Ровно в **три четверти** первого Санин объявился к Полозову. У ворот его гостиницы уже стояла карета, запряжённая четырьмя лошадьми.|Иван Тургенев|Вешние воды|1
12|45|— **Три четверти первого**, — посмотрел на часы Николай Всеволодович, вступая в комнату.|Фёдор Достоевский|Бесы|1
12|45|Герр профессор изволил выразить желание, чтобы сегодня все мы собрались вот в этой гостиной к часу дня. _(Смотрит на часы.)_ **Без четверти час**. Хочет о чем-то поведать миру.|Антон Чехов|Дядя Ваня|1
12|45|Было **без четверти час**; но Карл Иваныч, казалось, и не думал о том, чтобы отпустить нас, он то и дело задавал новые уроки. Скука и аппетит увеличивались в одинаковой мере.|Фёдор Достоевский|Детство|1
13|0|Все спало в замке, когда башенные часы пробили **час**.|Николай Гейнце|Герой конца века|1
13|0|Около **часу дня** я, Н.А. Десулави и П.П. Бордаков пошли вперед, а стрелки начали вьючить мулов.|Владимир Арсеньев|Дерсу Узала|1
13|0|Все шло, ехало, валило и маршировало к новому трамвайному депо, из которого ровно в **час дня** должен был выйти первый в Старгороде электрический трамвай.|Илья Ильф, Евгений Петров|Двенадцать стульев|1
13|2|"Приветливая женщина, приоткрыв дверь, взглянула на стенные часы:
— О, бог мой, **две минуты второго**! Что-нибудь экстренное задержало господина Ардашева, он очень пунктуален."|Лев Толстой|Эмигранты|1
13|6|Огромный циферблат на вершине башни — это было лицо: нагнулось из облаков и, сплевывая вниз секунды, равнодушно ждало. И вот ровно в **13 часов и 6 минут** — в четырехугольнике произошло замешательство.|Евгений Замятин|Мы|1
13|7|"— Уже **семь минут второго**, — не опуская газеты, густовато проговорил Михаил Александрович.
Львов остановился и некоторое время глядел невидяще.
Алексей Толстой"|Алексей Толстой|Эмигранты|1
13|15|А Дмитрий Федорович летел по дороге. До Мокрого было двадцать верст с небольшим, но тройка Андреева скакала так, что могла поспеть в **час с четвертью**.|Фёдор Достоевский|Братья Карамазовы|1
13|17|Я посмотрел на часы. **Семнадцать минут второго**. Автобус придет через четыре. Задрав голову, я рассеянно смотрел на небо.|Харуки Мураками|Сжечь сарай|1
13|25|Такси высадило Ханако около мастерской сэнсэя школы Дайдзэн в **двадцать пять минут второго**. Машин практически не было. Полуторачасовое занятие должно было закончиться в три|Тодд Симода|Четвертое сокровище|1
13|30|Тебе давно пора в Адмиралтейство! Тебя там сегодня ждут. Ты обещал быть в двенадцать часов, а теперь **половина второго**.|Сергей Аксаков|Воспоминание об Александре Семеновиче Шишкове|1
13|30|– Поедемте на bal de l'Opera – теперь самая пора – **половина второго**, – сказал я, вставая из-за стола в небольшом кабинете Cafe Anglais, одному русскому художнику, всегда кашлявшему и никогда вполне не протрезвлявшемуся.|Александр Герцен|Былое и думы|1
13|30|Десяток яиц стоит уже 35 руб., масло 40, ибо мужиков, везущих продукты в город, грабят «бандиты». Взяты на учет кладбища. «Хорониться граждане отныне могут бесплатно». Часы переведены еще на час вперед – сейчас по моим десять утра, а «по-советски» **половина второго дня**.|Иван Бунин|Окаянные дни|1
13|30|Мальчик посмотрел на часики своей дамы и пожал плечами. **Половина второго**. Стоят. Зачем ей часы, если она даже заводить их забывает.|Саша Чёрный|Чудесное лето|1
13|40|В своей комнате он взглянул запухшими от слез глазами на часы и испугался: **два без двадцати минут**! Торопясь и стараясь не шуметь, он свел велосипед с балкона, тихо и скоро повел его по двору.|Иван Бунин|Тёмные аллеи|1
13|40|Он открыл потайной шкаф в стене, где лежал костюм, в который он переодевался для своих ночных похождений, и спрятал туда вещи Бэзила, подумав, что их потом можно будет просто сжечь. Затем посмотрел на часы. Было **сорок минут второго**.|Оскар Уайльд|Портрет Дориана Грея|1
13|45|Камышинка в кушетке впилась в бок. На белой трубе тень от наклонной железки на Игоревых солнечных часах показывала **без четверти два**. Пора вниз — на землю, к людям.|Саша Чёрный|Чудесное лето|1
14|0|С тяжелой головой, после бессонной и бурно проведенной ночи, **около двух часов дня** проснулся в гостинице Николай Леопольдович.|Николай Гейнце|В тине адвокатуры|1
14|0|Он взглянул на часы: **два часа**, пора ехать к Ольге. Сегодня положенный день обедать. Он мало-помалу развеселился, велел привести извозчика и поехал в Морскую.|Иван Гончаров|Обломов|1
14|0|Граф стал одеваться и к **двум часам** — часу завтрака — вышел в столовую.|Николай Гейнце|Тайна любви|1
14|0|В **два часа** садился в собственную эгоистку и ехал завтракать к Дюсо; там встречался со стаею таких же шалопаев и условливался насчет остального дня|Михаил Салтыков-Щедрин|Мелочи жизни|1
14|0|В **два часа** ровно коляска домашней работы, запряженная шестью лошадьми, въехала на двор и покатилась около густо-зеленого дернового круга.|Александр Пушкин|Повести покойного Ивана Петровича Белкина|1
14|0|Пускай обо мне думают, что хотят, мне, право, всё равно, когда судьба сына зависит от этого. — Княгиня поднялась. — Теперь **два часа**, а в четыре часа вы обедаете. Я успею съездить.|Лев Толстой|Война и мир|1
14|20|Было уже **двадцать минут третьего**, а учителя истории не было еще ни слышно, ни видно даже на улице, по которой он должен был прийти и на которую я смотрел с сильным желанием никогда не видать его.|Лев Толстой|Отрочество|1
14|30|Иван Ильич рассчитал: ровно в **половине третьего** он нажмет пуговку звонка в той единственной двери, — она ему представлялась светло-дубовой, с двумя окошечками наверху, — куда он притащился бы и мертвый.|Алексей Толстой|Хождение по мукам|1
14|30|Было **половина третьего**. Уроки кончились, и гимназистки с веселым шумом высыпали из подъезда.|Лидия Чарская|Гимназистки|1
14|30|Было уже поздно, почти **половина третьего**, и Епанчина князь не застал дома. Оставив карточку, он решился сходить в гостиницу «Весы» и спросить там Колю; если же там нет его — оставить ему записку.|Фёдор Достоевский|Идиот|1
14|33|"Пандалевский достал из кармана жилета золотые часики с эмалью и посмотрел на них, осторожно налегая розовой щекой на твердый и белый воротничок.
— **Два часа и тридцать три минуты**, — промолвил он."|Иван Тургенев|Рудин|1
14|37|— Не помню, так; ходил по комнате... всё равно. Я часы остановил, было **тридцать семь минут третьего**.|Фёдор Достоевский|Бесы|1
14|40|"Большая толпа знакомых и просто любопытных стояла на набережной.
– Куда он запропастился? – недоумевал Гатлинг, посматривая на часы. – **Сорок минут третьего**.
– Подождем немного, – сказал профессор Томсон."|Александр Беляев|Остров Погибших Кораблей|1
14|45|Я смотрю на часы – **три без четверти**... и я с чувством какого-то бешенства сажусь на лавочку перед кафе... Шум, крик, таскают чемоданы, водят лошадей, лошади стучат без нужды по камням, трактирные гарсоны завоевывают путешественников, дамы роются между саками...|Александр Герцен|Былое и думы|1
14|50|"— Ах, боже мой, который это час? — вдруг вскричал я, нечаянно взглянув на циферблат часов на камине.
— **Без десяти минут три**,— спокойно произнесла она, взглянув на часы."|Фёдор Достоевский|Подросток|1
14|55|Было уже  **без  пяти минут три**,  когда я  вернулся в  класс. Учитель,  как будто не  замечая ни моего отсутствия,  ни моего присутствия, объяснял Володе следующий урок.|Лев Толстой|Отрочество|1
15|0|Притом история о танцующих стульях в Конюшенной улице была еще свежа, и потому нечего удивляться, что скоро начали говорить, будто нос коллежского асессора Ковалева ровно в **три часа** прогуливается по Невскому проспекту.|Николай Гоголь|Нос|1
15|0|На другой день, в **три часа дня**, он уже входил в квартиру графини Марифоски.|Николай Гейнце|Герой конца века|1
15|0|Елена говорит в тревоге. Вот несчастье. Муж должен был вернуться самое позднее, слышите ли — самое позднее, сегодня в **три часа дня**, а сейчас уже десять.|Михаил Булгаков|Белая гвардия|1
15|5|Николай Павлович посмотрел на часы. Было **пять минут четвертого**. Час свиданья приближался.|Николай Гейнце|Аракчеев|1
15|10|"Пир шел: холодная водка, балык, грузди, семга, чего только не было... Но Василий Сергеевич посмотрел на часы и сказал Юрию Сергеевичу:
— Ты меня извини, Юрий, уже **десять минут четвертого**, я должен тебя оштрафовать на три рубля."|Константин Коровин|Московская канитель|1
15|15|Взглянув на часы и видя, что еще только **четверть четвертого**, следовательно, еще остается порядочно ждать, а вместе с тем и рассудив, что так сидеть неприлично, господин Голядкин приказал подать себе шоколаду, к которому, впрочем, в настоящее время большой охоты не чувствовал.|Фёдор Достоевский|Двойник|1
15|16|Он зевнул и высунул левую руку из-под одеяла. **Шестнадцать минут четвертого**. Он лениво покрутил головку часов, заводя их.|Ричард Мэтисон|В один из тех дней|1
15|20|"— Я послезавтра на ""Синкансэне"" в **двадцать минут четвертого** на станцию ""Токио"" приезжаю, встретишь меня? Лицо мое помнишь еще? Или, может, тебе какая-то там Рэйко уже не интересна, раз Наоко умерла?"|Харуки Мураками|Норвежский лес|1
15|20|Мы были на городском вокзале в **двадцать минут четвертого** и, наскоро закусив в буфете, сразу отправились в Скотленд-Ярд. Холмс уже телеграфировал Форбсу, и он нас ждал.|Артур Конан Дойл|Записки о Шерлоке Холмсе|1
15|20|Дневное представление _«Кавасё»_ начиналось в два часа, кончалось в **двадцать минут четвёртого**. Солнце палило, было ещё жарче, чем вчера.|Дзюнъитиро Танидзаки|Дневник безумного старика|1
15|30|"Послы были от бабушки. Требовалось сыскать и доставить меня немедленно, «сердятся», — сообщил Потапыч.
— Но ведь еще только **половина четвертого**!"|Фёдор Достоевский|Игрок|1
15|30|— Ну, представь же себе, я заходил к Татьяне Павловне ровнешенько в **половину четвертого**, минута в минуту, и она встретила меня в кухне: я ведь почти всегда к ней хожу через черный ход.|Фёдор Достоевский|Подросток|1
15|40|"Он повесил трубку и схватил с полки расписание поездов.
— Да, вот он, последний, в двадцать три пятьдесят пять. Следующий пойдет только в **три сорок**."|Аркадий Гайдар|Тимур и его команда|1
15|53|"— Товарищ командир, разрешите отправляться?
— Да! — Полковник смотрит на часы: три часа пятьдесят три минуты. — Приказано отправляться в **три часа пятьдесят три минуты**."|Аркадий Гайдар|Тимур и его команда|1
16|0|А между тем часы проходили, летели, и незаметно стукнуло **четыре часа**.|Фёдор Достоевский|Двойник|1
16|0|В **четыре часа** выходил на Невский, улыбался проезжавшим мимо кокоткам и жал руки знакомым|Михаил Салтыков-Щедрин|Мелочи жизни|1
16|0|Наконец уже в **четыре часа** явились люди со станции снимать нас с мели, а между прочим, мы, в ожидании их, снялись сами. Отчего же просидели часа четыре на одном месте — осталось неизвестно.|Иван Гончаров|Фрегат „Паллада“|1
16|0|Теперь ровно **четыре часа**, а чай он пьет по-старинному, как проснется, в пятом часу.|Фёдор Достоевский|Дядюшкин сон|1
16|0|Под гулким сводом, пронизывающим дом, по асфальтовой дороге доктор вышел на улицу. Было ровно **четыре часа** дня на старинных часах на башне дома напротив. Начало чуть-чуть темнеть. Улица совершенно пуста.|Михаил Булгаков|Белая гвардия|1
16|5|Когда госпожа Уотсон посмотрела на часы на стене, они как раз показывали **пять минут пятого**, так что она аккуратно сложила бумаги на столе и начала собираться.|Хагивара Сакутаро|Черный кот госпожи Уотсон|1
16|5|Любитель бесконечных разочарований с коллекцией старых открыток, я иду! Я иду! Вы хотите показать мне вокзал, часы которого остановились в **пять минут пятого**.|Чарльз Симик|Мир не кончается|1
16|9|**Девять минут пятого**. Запах озона, сверкающее море, лицензия на содержание парка аттракционов. Вот тут-то все и начинается.|Марк Хэддон|Крушение пирса|1
16|10|Невольно Скайльс взялся за пульс: обычный. Взглянул на хронометр: было **десять минут пятого**, 14 августа 192… года.|Алексей Толстой|Аэлита|1
16|10|Вот и сегодня. Ровно в **16.10** — я стоял перед сверкающей стеклянной стеной. Надо мной — золотое, солнечное, чистое сияние букв на вывеске Бюро.|Евгений Замятин|Мы|1
16|14|Дороти снова переключила скорость, и автомобиль помчался к городу. Приближаясь к станции обслуживания, она посмотрела на часы. Было **четырнадцать минут пятого**.|Гарднер Эрл Стенли|Прокурор разбивает яйцо|1
16|15|"– Не пора ли одеваться: **четверть пятого**! – сказал Аянов.
– Да, пора, – отвечал Райский, очнувшись от задумчивости."|Иван Гончаров|Обрыв|1
16|15|Ему ампутировали ногу и сказали, что опасности для жизни нет, но в **пятнадцать минут пятого** он сказал, что ему негде жить, вздрогнул, сжал одеяло и умер.|Оксана Лисковая|Птица в виноградных листьях|1
16|17|– Хватит. Пора заканчивать. Всех касается. Мы сделали все, что было в наших силах. Сворачиваемся. Время – **семнадцать минут пятого**.|Уорд Рейчел|Когда придет дождь|1
16|20|Два листа, два трискалиона, как два дрожащих трехногих купальщика, разбегаются, чтоб окунуться, рвение заносит их в середину лужи и там, внезапно замедлив, они плывут, став совершенно плоскими. **Двадцать минут пятого**.|Владимир Набоков|Под знаком незаконнорожденных|1
16|23|Часы в витрине лавки часовщика показывали **двадцать три минуты пятого**. По методичному, словно бег по стадиону, передвижению секундной стрелки было ясно, что часы идут.|Найо Марш|Премьера убийства|1
16|23|Из-за обильных возлияний накануне утро очередного дня пришло в дом профессора Кондратьева во второй половине дня, а точнее, в **двадцать три минуты пятого**.|Виктория Ближевская|Спокойных дней не будет|1
16|28|Небо по сезону сплошь затянуто негустыми синевато-серыми тучами, и уже надвигаются вечерние сумерки, хотя часы показывают **двадцать восемь минут пятого**.|Кобо Абэ|Сожженная карта|1
16|29|Как ты думаешь, отпустит меня тетя Миранда в Миллтаун с мистером Кобом? Сейчас уже **двадцать девять минут пятого** и Алиса Робинсон ждет меня под смородиной. Можно мне пойти поиграть?|Кейт Дуглас Уиггин|Ребекка с фермы Солнечный ручей|1
16|30|В **четыре часа с половиной** Полина, князь и Калинович сели за стол.|Алексей Писемский|Тысяча душ|1
16|30|— Я говорю: «Ну где теперь Александру Федорычу быть? — продолжала Марья Михайловна, — уж **половина пятого**».|Иван Гончаров|Обыкновенная история|1
16|30|"В кабинете раздавалось мерное храпенье.
— Спит, — прошептал он, — надо будить: скоро **половина пятого**.
Он кашлянул и вошел в кабинет."|Иван Гончаров|Обломов|1
16|30|"— Эк спит-то! — сказал Захар, — словно каменщик. Илья Ильич!
Захар слегка тронул Обломова за рукав.
— Вставайте: **пятого половина**."|Иван Гончаров|Обломов|1
16|30|Я потому давеча и спрятался, как школьник, что думал, что вы мне помешаете; но, кажется (он вынул часы), могу пробыть с вами час; теперь **половина пятого**.|Фёдор Достоевский|Преступление и наказание|1
16|32|Он всегда ожидает, что ему скажут **тридцать две минуты пятого** или сорок семь минут десятого, и сердится, что люди так не точно выражаются о драгоценнейшем сокровище, о времени.|Николай Лесков|Страстная суббота в тюрьме|1
16|35|Мне  приснилась  бабочка,  порхающая  в  вечерних  сумерках. Когда  я проснулся, часы  показывали  **тридцать пять минут пятого**.  Солнце клонилось к закату, ветер  стих, облака изменили свой облик.|Харуки Мураками|Норвежский Лес|1
16|40|Было **сорок минут пятого** на карманных часах лейтенанта, когда он скомандовал выступление. Старший вахмистр ехал рядом с ним, а по обе стороны араба двигались спахи, не спускавшие с него глаз.|Жюль Верн|Наступление моря|1
16|45|А там, **без четверти в пять** часов, пробирался к беседке Тушин. Он знал местность, но, видно, давно не был и забыл, потому что глядел направо, налево, брал то в ту, то в другую сторону, по едва заметной тропинке, и никак не мог найти беседки.|Иван Гончаров|Обрыв|1
16|45|"— Клуб  ""Диоген"" — самый  чудной  клуб  в  Лондоне,  а Майкрофт  --  из чудаков чудак. Он там ежедневно с **без четверти пять** до сорока минут восьмого."|Артур Конан Дойл|Случай с переводчиком|1
16|50|**Без десяти минут пять** Уэно вздохнул в последний раз и закрыл глаза. Он метался в бреду целых три дня, а умер легко и тихо.|Дзюнъити Ватанабэ |Свет без тени|1
16|55|Дома Федору Михайловичу казалось, все делалось ему, наперекор. Было **без пяти минут пять часов**. Он думал, что сейчас же подадут обедать, но обед не был еще готов. Федор Михайлович хлопнул дверью и ушел в свою комнату. |Лев Толстой|Фальшивый купон|1
17|0|На другой день, ровно в **пять часов вечера**, Истомин вошел ко мне в пальто и шляпе.|Николай Лесков|Островитяне|1
17|0|В эту эпоху спектакли начинались обыкновенно в **пять часов вечера** и кончались не позднее десятого часа.|Николай Гейнце|Князь Тавриды|1
17|0|Чугунное пресс-папье стояло на своем месте, когда одиннадцатого декабря, в **пять часов вечера**, я вошел в кабинет к Алексею. Этот час перед обедом — обедают они в семь часов — и Алексей и Татьяна Николаевна проводят в отдыхе. Моему приходу очень обрадовались.|Леонид Андреев|Мысль|1
17|0|Но было уже почти **пять часов вечера**, и я подумала, чего её снимать, если скоро уже опять надевать, и решила ничего не менять в своём облике.|Наталья Никольская|Капкан|1
17|0|Самгин остановил его, сказав, что он сегодня в **пять часов** должен уехать из Петербурга и что церемония похорон должна быть совершена ускоренно.|Максим Горький|Жизнь Клима Самгина|1
